id,is_iceberg
5941774d,0.2378654032945633
4023181e,0.19267705082893372
b20200e4,0.9999998807907104
e7f018bb,0.9966667294502258
4371c8c3,0.9544453620910645
a8d9b1fd,0.004014621023088694
29e7727e,0.1512259691953659
92a51ffb,0.9957090616226196
c769ac97,6.140679147392802e-07
aee0547d,1.2740429371216333e-11
565b28ac,5.4045063563323836e-11
e04e9775,0.22283236682415009
8e8161d1,7.691978680668399e-05
4cf4d256,0.2985927164554596
139e5324,0.7928661704063416
f156976f,0.0018372874474152923
68a117cc,0.007453376892954111
d9aa7a56,0.3823000192642212
9005b143,0.920037567615509
5f6d3988,0.9127445220947266
9ad70954,0.014639773406088352
b9087b9e,0.414617121219635
a39a1427,0.9997071623802185
82fbe8ed,0.3320022523403168
1fae4879,9.992310295691463e-21
6dd8f13d,1.698993409417579e-17
bbad5958,0.021201489493250847
54527583,0.371163010597229
be8fa29c,0.02383681945502758
81a3328f,0.9918506741523743
1a3c0ab3,1.3623934289851334e-21
4deeeb8b,0.21484895050525665
ac6d5632,0.7342369556427002
472dadb5,0.8684368133544922
96093f95,0.8259008526802063
f5b4e3df,0.9987101554870605
e01a3c92,0.005105841439217329
001680af,0.0004972601309418678
8e639f33,0.5155127644538879
a2c16612,0.5002322196960449
a6d76474,6.873618087019592e-26
19c47684,0.974249541759491
015827b6,0.9995338916778564
7df7f7ce,0.05050191283226013
0bbf1a3f,0.4406415522098541
636cfbb7,0.5299844145774841
7370030a,0.976535975933075
43aa97ad,1.1304011893198407e-10
ba2b5e63,0.9998393058776855
dfdd335b,0.03426515311002731
e79b13dc,8.464457823053262e-22
dc32b195,0.9138104319572449
6d868590,0.9642505049705505
75fa59aa,0.009353932924568653
ffe50836,0.9985483288764954
a7bfd784,0.9697569608688354
b3d569e3,0.08170712739229202
6c538c5b,0.018321912735700607
5c7c15f4,1.4430592045755475e-06
0b745139,0.9989263415336609
fd14608e,0.2991688847541809
f0bc8305,0.22112885117530823
a10ccb28,0.9999618530273438
543304c7,0.7643628120422363
6c3a4078,2.8718227889458954e-30
9b73cc75,0.13003428280353546
5c6c71b1,0.01251245103776455
09ee9186,0.011864871717989445
207c35cf,0.98583984375
153c813e,1.0
5605d58b,0.6640326976776123
642ca396,0.00017654419934842736
d32d72c0,0.9514007568359375
16646a17,0.9985131621360779
384074af,2.2481122869066894e-05
69bf1e8c,0.41298186779022217
9e90a054,0.8388148546218872
89dbe7f7,0.9955347776412964
dbd27d22,0.5892968773841858
a2ea1561,0.6377288103103638
d63402af,0.39125171303749084
1ac8bb92,0.9993458390235901
8beffca5,0.9978258013725281
46741f3e,5.434501559875571e-08
e5ee6aa7,0.3536788821220398
5ecd892b,0.7997981905937195
69892166,1.6457051836598268e-15
2f725a81,0.033723700791597366
810abfe4,5.94143163237882e-26
e6f973e6,0.9948340654373169
c60a5c46,0.023586135357618332
c42b9e08,0.20198102295398712
c3f00c23,0.9999985694885254
5307fdb8,0.982431948184967
3e4f005e,0.00820008572191
4a4cc2e0,0.7984578609466553
9bdd88d1,2.1615857297456118e-14
0d832bed,0.002401283010840416
14a134fa,1.817365563594464e-10
78a41676,2.2654892440258765e-23
0bd4658e,0.0014715398428961635
4a311bb0,0.35947123169898987
f939c817,0.9411198496818542
956adc4d,0.9996745586395264
f8a119f5,0.7009735703468323
61faa1ad,0.005395250394940376
6725eb3e,0.005267149303108454
17b3a8fd,9.974733261586266e-10
49a88dfc,4.43004909948288e-23
2d6ec645,0.035235725343227386
0d4d77ba,0.7386258840560913
3ee672a2,0.9996299743652344
738b41fd,0.9927728772163391
f7fb320d,0.6326887607574463
b42fad18,5.173615099885748e-19
4ab8b00a,0.35698652267456055
f7870f2b,0.011368812993168831
4978666a,0.7367268800735474
f1b0d6c7,0.001537857111543417
5642407f,0.0005213902331888676
36d4ff92,0.9800434112548828
4139aba2,0.9734945297241211
